4867f4fd-8943-4982-9ad8-4166182992ca	Ktchen	Zwilling J.A. Henckels Twin Four Star II Meat Cleaver
860a585a-7df5-484c-8331-2d2f57f11948	Ktchen	Pyrex 3-Piece Glass Measuring Cup Set
09d08220-7f1b-43f5-ab9c-9d70333bd831	Jewelry	INBLUE Men's Stainless Steel Ring Band Silver Tone Black Skull Hand Bone
b2802cae-3ff9-461b-9fe1-546b5287ae15	Jewelry	Bestpriceam (TM) Chunky Clear Crystal Statement Necklace
9455018c-a41c-4d57-8f52-6672e23fd879	Ktchen	Nut Grinder Table Top Mounted s/s 20cm
cfc66795-e9e3-4fa3-b59e-ad90bb113719	Ktchen	Pint Glass set of (6) Additional Colors Available - Colored 16oz
d2d88575-d803-4df9-9c7a-f581c343bac8	Ktchen	Ziploc Vacuum Pump Refill Bags, Quart Size, 12 Count
a2364dad-c4a9-4740-b033-575ac28ca327	Ktchen	EatSmart Precision Pro Digital Kitchen Scale
4918d18b-2c32-45e6-947e-04328d1fc016	Jewelry	HotVally Animal Halloween Pacboy&Nogr Silver Cuff Links Men's Shirt Cufflinks Gift Box
ddd7c9cc-7099-407a-9de3-8123b5b38062	Ktchen	"Culina Kitchen Scissors 8"" Heavy-Duty Come-Apart S/S, Multipurpose"
4c634bc8-98fb-4690-9220-c4896e5458f5	Ktchen	Rachael Ray Stoneware 2-3/4-Quart Covered Bubble and Brown Casserround Casserole
ec6f0f08-abda-4974-95a7-9da0fdbd0e42	Ktchen	Bento Box
b56b07dc-968c-41f1-bb5f-9d57a236f949	Jewelry	Anklet with Biddy Bells
de68a76f-a65d-4daf-a37c-ad5db06b2667	Jewelry	Samgo Vintage Women Accessories Feather Hairpin Hair Clip (sliver)
4ed81c48-aec4-4ba8-8ddd-5e36e040e7e0	Ktchen	Zyliss Garlic Slicer
77633fc9-ca35-4113-b334-42930f3baa32	Ktchen	Presto PopLite Hot Air Corn Popper
b4be6022-72de-469a-9793-90100d06dbc0	Ktchen	"VonShef Induction Hob Heat Diffuser Stainless Steel, Medium (23.5cm/9.25"")"
44b4a847-a128-4e20-9d1e-c32a369276f4	Jewelry	"Anne Klein ""Pretty AND Pastel"" Silver-Tone Blue Opal Crystal Leverback Drop Earrings"
fb63019e-8753-40f5-890e-bab67949fd03	Jewelry	Lapis Faceted Chakra Pendulum with Satin Bag and Instruction Leaflet for Divination / Dowsing Tool
c5263109-1501-4963-82e9-05bfdf0b1f80	Jewelry	Stainless Steel 12 Pair Various Colored Stud Earring Set
3066c74e-a9f1-4e3a-af08-d6a06b65fbef	Ktchen	Kuuk Onion Chopper - Also for Garlic, Tomatoes, Salsa and More
de9f055f-56ba-47c6-9632-6a0d2f41c3fe	Jewelry	Souarts Antique Silver Color Smile Face Tooth Shape Spacer Beads for Charm Bracelet Pack of 20pcs
abb062e5-a118-40a1-af4b-70ac42525033	Ktchen	"Presto 07046 TiltnDrain Big Griddle 23"" (07046)"
6d9f9d48-8984-4594-8357-f256903c1d24	Jewelry	Ocaler&#174;Crown Cross Shaped Rhinestone & Artificial Pearl Stud Earrings for Women
30d0579d-7d1e-4420-b4af-7820f26d07e7	Jewelry	8mm Hammered Stepped Edges Tungsten Carbide Men's Band Wedding Ring
12687240-b315-42a5-8797-12ddd5800cd0	Ktchen	Generic Replacement Cross Blades for the Magic Bullet Blender Juicer Mixer
ae51fb44-156a-4ed2-8b4d-88da1acf1f2b	Ktchen	The Abundant Kitchen Slim Coffee Grinder and Burr Spice Mill | Moneyback Guarantee | Glass Bottom | Perfect Size for a Cup of Joe
605c2638-f159-462b-a3fc-6ad1d93920cb	Jewelry	Rhodium Plated Sterling Silver Multicolor Amber Modern Inlay Drop Earrings
00e8b63e-a6f5-4fa5-a05b-b2e91e9c8ea5	Ktchen	Prepworks by Progressive Magnetic Peelers - Set of 3
f7de7d41-ce58-45f6-b283-0a5047de7667	Ktchen	Polder TMR-607-39 Mini 100-Minute Kitchen Timer with Digital Display
