88ca9249-c177-405a-b744-2e351a94fcb8	Too heavy and over-sized. The quality is low
21910122-3676-4150-b1b0-256868a634b8	item as described
290296ea-0206-4d0b-b7e7-0c3c2609c13e	This is very light weight.  Almost like a disposable item.  I was hoping to keep it on my dining room table permanently, but it's not quite up to that level.
1fef9581-799b-4ec1-90f8-c48c506376a0	Looks great in my kitchen, I love penguins....and Seaworld.
ab42b690-be52-40b5-a4ea-28e88e47df0e	I like this Malachite bead strand. Thank you for low price and good quality.
f91b02d0-0525-4ea3-a9d7-d658ec8c08b5	perfect for my sons medical tags..
651e7abf-1efe-4864-9650-718b156ff1d4	Perfect size for cooking for 1 or 2 people. Anything more and it becomes time consuming to load and unload. Still a great product.
540d0439-3b80-477b-a05c-420845724217	I ordered this for my husband and he really love it.
52fa758f-dea8-47c9-962a-6bdc704e4314	Good size and accurate. I've been wanting a scale for a while and this one is nice and compact. Can hold 2 good size steaks or a bowl.
0b462703-f50d-4a09-9a5e-66b5426359c0	BLUE SAPPHIRE TOO SMALL
50c40578-0d5a-4c13-8fcd-92cf597755ad	Cheap.....
cd1b8922-938f-42bb-afa6-67527d49aa03	The only bad thing that did not ask to 9 inches , I ordered the 8-inch
f0f15b00-3fac-4f44-9de3-e9d3ffd0e7e5	It was a bit big for my nose but I squeezed it a little and now it fits my nose perfectly. I love wearing it for pictures and people think that I've actually gotten my septum pierced.
14f27888-1a6e-4b65-bc2f-3e95dee278ce	the look just like on the pickture, love them
acdf54e5-9bdd-43c2-90fb-a96d19e5ef0a	Very pretty stone and setting
119afab6-8666-4ca3-8f56-a1b550c7819c	Love these Tentacle wraps!  Great quality & workmanship.  Beautiful in person.  I actually converted one of them into a pendant for my necklace project.  It looks Great!  Vendor shipped quickly but has Very Poor Communication.  Never responded to my question put weeks ago - So if you have a question, better ask somewhere else or do your own research like I had to do  : )
8951b890-3596-4144-893d-3bf84b41293f	Love this, works great, been using it for a while now and I can say it is one of the best mivrowaves I have had both looks and usability wise. I would highly recommend and the wife loves it!
49633707-895e-43da-8ee1-470a13ad0f00	This Gold Chain Necklace with 24K Gold Overlay is 30x thicker than ordinary plated gold so it should hold-up much better over the years. This chain is just 1mm thick, so it's lightweight and thin enough to fit most charms over the small clasp to wear around my neck. I think this chain has the look and feel of real gold and is unisex so that both men and women can wear it. I received this product for a discounted price in exchange for my honest and unbiased review.
886fe965-38be-43e5-a42b-1e7e2c8eae0a	makes chopping onions so much easier!!
